,bedrooms_total,baths_total,acres,sq_ft_tot_fn,tax_gross_amount,assessment_value_town,garage_capacity,year_built,total_stories,rooms_total,garage,flood_zone,basement,price_closed,city__Pomfret,city__Woodstock,covenants__Unknown,covenants__Yes,garage_type,short_sale,basement_access_type,current_use
25,6.0,5.0,26.19,5916.0,45702.0,1543810.0,1.0,1818.0,1.5,15.0,1.0,0.0,1.0,1800000.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
26,3.0,2.0,0.17,2000.0,5819.0,301600.0,1.0,1979.0,2.5,8.0,1.0,0.0,1.0,305000.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
27,2.0,2.0,4.1,1550.0,7069.0,338100.0,0.0,1914.0,2.5,9.0,0.0,0.0,1.0,400000.0,0.0,1.0,0.0,1.0,0.285770395023837,0.0,0.0,0.0
28,3.0,3.0,45.0,2968.0,11660.0,708670.0,3.0,1988.0,2.0,9.0,1.0,0.0,1.0,449000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
29,4.0,3.0,7.0,3064.0,6736.0,389600.0,4.0,1807.0,1.5,14.0,1.0,0.0,1.0,375000.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
30,3.0,2.0,9.88,1800.0,6953.0,728609.6899224806,0.0,1910.0,2.0,9.0,0.0,1.0,1.0,380000.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
31,6.0,8.0,121.39,5336.0,38108.0,2893100.0,2.0,1817.0,3.0,15.0,1.0,0.0,1.0,1950000.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
32,3.0,2.0,11.41,2016.0,8749.0,453000.0,2.0,1951.0,1.5,7.0,1.0,0.0,1.0,390000.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
33,2.0,2.0,74.89,800.0,4441.0,728609.6899224806,0.0,2004.0,1.5,4.0,0.0,1.0,0.0,850000.0,1.0,0.0,0.0,0.0,0.2020143995004255,1.0,0.2198927544499894,1.0
34,3.0,3.0,5.5,2633.0,9794.0,513141.0,3.0,1989.0,1.5,10.0,1.0,0.0,1.0,330000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
